run_date,city,platform,campaign_type,sub_metric,D1,LMTD,LM,MTD,MTD_vs_LMTD,PROJECTED,L7D,LL7D
2026-04-09,Hyderabad,Google,Google - Total,SPEND,21132.8,110809.87,497235.05,181253.46,63.6,604178.2,141368.43,142006.9
2026-04-09,Hyderabad,Google,Google - Total,CLICKS,8324,37370,213055,113015,202.4,376716,98066,51428
2026-04-09,Hyderabad,Google,Google - Total,CPC,2.54,2.97,2.33,1.6,,,1.44,2.76
2026-04-09,Hyderabad,Meta,Facebook - Catalog,SPEND,11146.23,83746.76,303626.44,105719.48,26.2,352398.27,82741.33,79779.89
2026-04-09,Hyderabad,Meta,Facebook - Catalog,CLICKS,2760,19866,74028,23995,20.8,79983,18963,16887
2026-04-09,Hyderabad,Meta,Facebook - Catalog,CPC,4.04,4.22,4.1,4.41,,,4.36,4.72
2026-04-09,Hyderabad,Meta,Facebook - Conversion,SPEND,5742.8,35098.16,116804.6,46909.19,33.7,156363.97,38116.28,28270.7
2026-04-09,Hyderabad,Meta,Facebook - Conversion,CLICKS,415,2376,7821,3599,51.5,11996,2939,1986
2026-04-09,Hyderabad,Meta,Facebook - Conversion,CPC,13.84,14.77,14.93,13.03,,,12.97,14.23
2026-04-09,Hyderabad,Meta,Facebook - Total,SPEND,16889.03,118844.92,420431.04,152628.67,28.4,508762.23,120857.61,108050.59
2026-04-09,Hyderabad,Meta,Facebook - Total,CLICKS,3175,22242,81849,27594,24.1,91980,21902,18873
2026-04-09,Hyderabad,Meta,Facebook - Total,CPC,5.32,5.34,5.14,5.53,,,5.52,5.73
2026-04-09,Indore,Google,Google - PMAX,SPEND,2030.39,17919.11,60774.97,20174.7,12.6,67249.0,15037.21,14745.58
2026-04-09,Indore,Google,Google - PMAX,CLICKS,1990,11150,87437,22944,105.8,76480,16588,28577
2026-04-09,Indore,Google,Google - PMAX,CPC,1.02,1.61,0.7,0.88,,,0.91,0.52
2026-04-09,Indore,Google,Google - UACi,SPEND,0,0,0,0,,0.0,0,0
2026-04-09,Indore,Google,Google - UACi,CLICKS,0,0,0,0,,0,0,0
2026-04-09,Indore,Google,Google - UACi,CPC,0.0,0.0,0.0,0.0,,,0.0,0.0
2026-04-09,Indore,Google,Google - UACe,SPEND,420.84,0,0,5818.59,,19395.3,5818.59,0
2026-04-09,Indore,Google,Google - UACe,CLICKS,106,0,0,1909,,6363,1909,0
2026-04-09,Indore,Google,Google - UACe,CPC,3.97,0.0,0.0,3.05,,,3.05,0.0
2026-04-09,Indore,Google,Google - Search,SPEND,0,0,0,0,,0.0,0,0
2026-04-09,Indore,Google,Google - Search,CLICKS,0,0,0,0,,0,0,0
2026-04-09,Indore,Google,Google - Search,CPC,0.0,0.0,0.0,0.0,,,0.0,0.0
2026-04-09,Indore,Google,Google - Total,SPEND,2451.23,17919.11,60774.97,25993.28,45.1,86644.27,20855.8,14745.58
2026-04-09,Indore,Google,Google - Total,CLICKS,2096,11150,87437,24853,122.9,82843,18497,28577
2026-04-09,Indore,Google,Google - Total,CPC,1.17,1.61,0.7,1.05,,,1.13,0.52
2026-04-09,Indore,Meta,Facebook - Catalog,SPEND,3985.28,22207.83,70993.85,33853.9,52.4,112846.33,27774.94,17059.79
2026-04-09,Indore,Meta,Facebook - Catalog,CLICKS,1257,8420,26330,10676,26.8,35586,8601,5841
2026-04-09,Indore,Meta,Facebook - Catalog,CPC,3.17,2.64,2.7,3.17,,,3.23,2.92
2026-04-09,Indore,Meta,Facebook - Conversion,SPEND,973.52,7712.46,26914.68,8285.3,7.4,27617.67,6425.54,5998.57
2026-04-09,Indore,Meta,Facebook - Conversion,CLICKS,103,923,2918,837,-9.3,2790,660,552
2026-04-09,Indore,Meta,Facebook - Conversion,CPC,9.45,8.36,9.22,9.9,,,9.74,10.87
2026-04-09,Indore,Meta,Facebook - Total,SPEND,4958.8,29920.29,97908.53,42139.2,40.8,140464.0,34200.48,23058.36
2026-04-09,Indore,Meta,Facebook - Total,CLICKS,1360,9343,29248,11513,23.2,38376,9261,6393
2026-04-09,Indore,Meta,Facebook - Total,CPC,3.65,3.2,3.35,3.66,,,3.69,3.61
2026-04-09,Jaipur,Google,Google - PMAX,SPEND,3923.85,20756.7,91553.07,32332.28,55.8,107774.27,25152.26,25263.14
2026-04-09,Jaipur,Google,Google - PMAX,CLICKS,1908,18303,41577,51254,180.0,170846,30320,27687
2026-04-09,Jaipur,Google,Google - PMAX,CPC,2.06,1.13,2.2,0.63,,,0.83,0.91
2026-04-09,Jaipur,Google,Google - UACi,SPEND,0,0,0,0,,0.0,0,0
2026-04-09,Jaipur,Google,Google - UACi,CLICKS,0,0,0,0,,0,0,0
2026-04-09,Jaipur,Google,Google - UACi,CPC,0.0,0.0,0.0,0.0,,,0.0,0.0
2026-04-09,Jaipur,Google,Google - UACe,SPEND,417.19,0,0,4987.15,,16623.83,4987.15,0
2026-04-09,Jaipur,Google,Google - UACe,CLICKS,126,0,0,1973,,6576,1973,0
2026-04-09,Jaipur,Google,Google - UACe,CPC,3.31,0.0,0.0,2.53,,,2.53,0.0
2026-04-09,Jaipur,Google,Google - Search,SPEND,0,0,0,0,,0.0,0,0
2026-04-09,Jaipur,Google,Google - Search,CLICKS,0,0,0,0,,0,0,0
2026-04-09,Jaipur,Google,Google - Search,CPC,0.0,0.0,0.0,0.0,,,0.0,0.0
2026-04-09,Jaipur,Google,Google - Total,SPEND,4341.04,20756.7,91553.07,37319.43,79.8,124398.1,30139.41,25263.14
2026-04-09,Jaipur,Google,Google - Total,CLICKS,2034,18303,41577,53227,190.8,177423,32293,27687
2026-04-09,Jaipur,Google,Google - Total,CPC,2.13,1.13,2.2,0.7,,,0.93,0.91
2026-04-09,Jaipur,Meta,Facebook - Catalog,SPEND,7695.74,38565.03,216977.39,75042.33,94.6,250141.1,53444.94,79966.83
2026-04-09,Jaipur,Meta,Facebook - Catalog,CLICKS,2119,11863,61674,20614,73.8,68713,14421,22824
2026-04-09,Jaipur,Meta,Facebook - Catalog,CPC,3.63,3.25,3.52,3.64,,,3.71,3.5
2026-04-09,Jaipur,Meta,Facebook - Conversion,SPEND,2832.8,18266.16,72465.1,25343.54,38.7,84478.47,18055.87,24005.66
2026-04-09,Jaipur,Meta,Facebook - Conversion,CLICKS,272,1656,6135,2006,21.1,6686,1447,1856
2026-04-09,Jaipur,Meta,Facebook - Conversion,CPC,10.41,11.03,11.81,12.63,,,12.48,12.93
2026-04-09,Jaipur,Meta,Facebook - Total,SPEND,10528.54,56831.19,289442.49,100385.87,76.6,334619.57,71500.81,103972.49
2026-04-09,Jaipur,Meta,Facebook - Total,CLICKS,2391,13519,67809,22620,67.3,75400,15868,24680
2026-04-09,Jaipur,Meta,Facebook - Total,CPC,4.4,4.2,4.27,4.44,,,4.51,4.21
2026-04-09,Kochi,Google,Google - PMAX,SPEND,6450.73,56600.45,188005.9,60395.48,6.7,201318.27,42495.9,46934.7
2026-04-09,Kochi,Google,Google - PMAX,CLICKS,4240,54302,132302,52149,-4.0,173830,33526,40485
2026-04-09,Kochi,Google,Google - PMAX,CPC,1.52,1.04,1.42,1.16,,,1.27,1.16
2026-04-09,Kochi,Google,Google - UACi,SPEND,712.55,5536.48,5536.48,1505.12,-72.8,5017.07,1505.12,0
2026-04-09,Kochi,Google,Google - UACi,CLICKS,87,453,453,187,-58.7,623,187,0
2026-04-09,Kochi,Google,Google - UACi,CPC,8.19,12.22,12.22,8.05,,,8.05,0.0
2026-04-09,Kochi,Google,Google - UACe,SPEND,1621.27,12603.71,44771.88,18874.09,49.8,62913.63,15806.64,10773.26
2026-04-09,Kochi,Google,Google - UACe,CLICKS,571,5371,20471,6478,20.6,21593,5134,5008
2026-04-09,Kochi,Google,Google - UACe,CPC,2.84,2.35,2.19,2.91,,,3.08,2.15
2026-04-09,Kochi,Google,Google - Search,SPEND,0,0,0,0,,0.0,0,0
2026-04-09,Kochi,Google,Google - Search,CLICKS,0,0,0,0,,0,0,0
2026-04-09,Kochi,Google,Google - Search,CPC,0.0,0.0,0.0,0.0,,,0.0,0.0
2026-04-09,Kochi,Google,Google - Total,SPEND,8784.55,74740.64,238314.26,80774.69,8.1,269248.97,59807.66,57707.96
2026-04-09,Kochi,Google,Google - Total,CLICKS,4898,60126,153226,58814,-2.2,196046,38847,45493
2026-04-09,Kochi,Google,Google - Total,CPC,1.79,1.24,1.56,1.37,,,1.54,1.27
